   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     103.58       1.404       0.875       0.528       1.404       2.442       2.442       0.000       2.442       0.610
     103.94       1.415       0.882       0.532       1.415       2.459       2.459       0.000       2.459       0.615
     104.23       1.424       0.888       0.536       1.424       2.474       2.474       0.000       2.474       0.619
     104.76       1.440       0.899       0.541       1.440       2.499       2.499       0.000       2.499       0.626
     105.23       1.454       0.908       0.547       1.454       2.522       2.522       0.000       2.522       0.633
     106.25       1.486       0.928       0.558       1.486       2.572       2.572       0.000       2.572       0.647
     106.57       1.496       0.934       0.561       1.496       2.587       2.587       0.000       2.587       0.651
     106.93       1.507       0.942       0.565       1.507       2.605       2.605       0.000       2.605       0.656
     107.80       1.534       0.959       0.575       1.534       2.647       2.647       0.000       2.647       0.668
     108.05       1.541       0.964       0.577       1.541       2.659       2.659       0.000       2.659       0.672
     108.46       1.554       0.972       0.582       1.554       2.679       2.679       0.000       2.679       0.678
     109.50       1.586       0.993       0.593       1.586       2.730       2.730       0.000       2.730       0.693
     109.98       1.601       1.002       0.599       1.601       2.753       2.753       0.000       2.753       0.700
     110.56       1.619       1.014       0.605       1.619       2.781       2.781       0.000       2.781       0.709
     110.62       1.620       1.015       0.605       1.620       2.784       2.784       0.000       2.784       0.709
     110.76       1.625       1.018       0.607       1.625       2.791       2.791       0.000       2.791       0.711
     111.16       1.637       1.026       0.611       1.637       2.810       2.810       0.000       2.810       0.717
     111.25       1.640       1.028       0.612       1.640       2.815       2.815       0.000       2.815       0.719
     112.70       1.685       1.057       0.628       1.685       2.885       2.885       0.000       2.885       0.740
     113.80       1.718       1.079       0.640       1.718       2.939       2.939       0.000       2.939       0.758
     114.09       1.727       1.084       0.643       1.727       2.953       2.953       0.000       2.953       0.762
     114.24       1.732       1.087       0.645       1.732       2.960       2.960       0.000       2.960       0.765
     115.39       1.767       1.110       0.657       1.767       3.016       3.016       0.000       3.016       0.783
     115.80       1.780       1.119       0.661       1.780       3.036       3.036       0.000       3.036       0.789
     115.82       1.781       1.119       0.661       1.781       3.037       3.037       0.000       3.037       0.790
     116.75       1.818       1.154       0.664       1.818       3.082       3.082       0.000       3.082       0.805
     117.20       1.837       1.171       0.665       1.837       3.104       3.104       0.000       3.104       0.812
     118.10       1.873       1.206       0.667       1.873       3.148       3.148       0.000       3.148       0.826
     120.00       1.950       1.280       0.670       1.950       3.240       1.130       2.110       3.240       0.858
     120.40       1.966       1.290       0.676       1.966       3.268       1.147       2.122       3.268       0.865
     121.15       1.996       1.310       0.686       1.996       3.322       1.178       2.144       3.322       0.877
     121.79       2.022       1.327       0.695       2.022       3.367       1.205       2.162       3.367       0.888
     122.70       2.058       1.350       0.708       2.058       3.432       1.244       2.187       3.432       0.903
     123.50       2.090       1.371       0.719       2.090       3.489       1.279       2.209       3.489       0.917
     124.00       2.110       1.384       0.726       2.110       3.524       1.301       2.223       3.524       0.925
     125.00       2.150       1.410       0.740       2.150       3.595       1.346       2.249       3.595       0.943
     127.65       2.267       1.479       0.787       2.267       3.783       1.468       2.315       3.783       0.992
     129.87       2.364       1.537       0.828       2.364       3.941       1.574       2.367       3.941       1.033
     130.00       2.370       1.540       0.830       2.370       3.950       1.580       2.370       3.950       1.036
     130.30       2.381       1.549       0.833       2.381       3.971       1.595       2.376       3.971       1.041
     130.50       2.389       1.555       0.834       2.389       3.985       1.605       2.380       3.985       1.045
     131.02       2.409       1.570       0.838       2.409       4.021       1.632       2.390       4.021       1.054
     131.21       2.416       1.576       0.840       2.416       4.035       1.642       2.393       4.035       1.058
     135.00       2.560       1.690       0.870       2.560       4.300       1.842       2.458       4.300       1.125
     136.21       2.611       1.726       0.885       2.611       4.385       1.908       2.476       4.385       1.147
     136.28       2.614       1.728       0.886       2.614       4.390       1.912       2.477       4.390       1.148
     136.34       2.616       1.730       0.886       2.616       4.394       1.915       2.478       4.394       1.149
     136.45       2.621       1.733       0.888       2.621       4.401       1.922       2.480       4.401       1.151
     136.48       2.622       1.734       0.888       2.622       4.404       1.923       2.480       4.404       1.151
     137.80       2.678       1.774       0.904       2.678       4.496       1.997       2.499       4.496       1.175
     140.00       2.770       1.840       0.930       2.770       4.650       2.124       2.526       4.650       1.219
     141.20       2.820       1.878       0.942       2.820       4.730       2.174       2.556       4.730       1.243
     144.21       2.947       1.975       0.972       2.947       4.932       2.303       2.629       4.932       1.303
     144.27       2.949       1.976       0.973       2.949       4.936       2.306       2.630       4.936       1.304
     145.00       2.980       2.000       0.980       2.980       4.985       2.338       2.647       4.985       1.319
     145.04       2.982       2.001       0.981       2.982       4.988       2.339       2.648       4.988       1.320
     145.90       3.021       2.025       0.996       3.021       5.045       2.377       2.668       5.045       1.337
