   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     837.00       3.000       0.000       0.000       0.000      14.347       5.308       0.000       5.308      10.260
     837.50      20.000       0.000       0.000       0.000      12.380       4.581       0.000       4.581      10.250
     837.80      15.980       0.000       0.000       0.000      11.200       4.144       0.000       4.144      10.244
     838.00      13.300       0.000       0.000       0.000      14.525       5.374       0.000       5.374      10.240
     838.60      41.319       0.000       0.000       0.000      24.500       9.065       0.000       9.065      10.228
     838.60      41.319       0.000       0.000       0.000      24.500       9.065       0.000       9.065      10.228
     838.90      55.331       0.000       0.000       0.000      23.400      10.483       0.000      10.483      10.222
     839.00      60.000       0.000       0.000       0.000      24.150      10.723       0.000      10.723      10.220
     839.10      54.301       0.000       0.000       0.000      24.900      10.956       0.000      10.956      10.218
     840.00       3.000       0.000       0.000       0.000      19.890       8.334       0.000       8.334      10.200
     840.50       1.000       0.000       0.000       0.000      17.107       6.968       0.000       6.968      10.165
     840.70      50.000       0.000       0.000       0.000      15.993       6.440       0.000       6.440      10.151
     841.00      26.700       0.000       0.000       0.000      14.323       5.667       0.000       5.667      10.130
     841.50      20.000       0.000       0.000       0.000      11.540       4.431       0.000       4.431      10.095
     842.00      96.700       0.000       0.000       0.000       8.757       3.260       0.000       3.260      10.060
     842.10      80.024       0.000       0.000       0.000       8.200       3.034       0.000       3.034      10.053
     842.50      13.300       0.000       0.000       0.000       9.165       3.326       0.000       3.326      10.025
     843.00       6.700       0.000       0.000       0.000      10.371       3.672       0.000       3.672       9.990
     843.50       3.000       0.000       0.000       0.000      11.577       3.997       0.000       3.997       9.955
     843.80       1.800       0.000       0.000       0.000      12.300       4.182       0.000       4.182       9.934
     844.00       1.000       0.000       0.000       0.000      11.725       4.074       0.000       4.074       9.920
     844.50      26.700       0.000       0.000       0.000      10.287       3.768       0.000       3.768       9.885
     844.60      24.021       0.000       0.000       0.000      10.000       3.700       0.000       3.700       9.878
     845.00      13.300       0.000       0.000       0.000      12.646       4.329       0.000       4.329       9.850
     845.50       3.000       0.000       0.000       0.000      15.954       4.909       0.000       4.909       9.815
     845.90       1.400       0.000       0.000       0.000      18.600       5.208       0.000       5.208       9.787
     846.00       1.000       0.000       0.000       0.000      17.941       5.076       0.000       5.076       9.780
     847.00       1.000       0.000       0.000       0.000      11.353       3.546       0.000       3.546       9.710
     847.60       1.000       0.000       0.000       0.000       7.400       2.442       0.000       2.442       9.668
     848.00       1.000       0.000       0.000       0.000       7.578       2.669       0.000       2.669       9.640
     848.50       1.000       0.000       0.000       0.000       7.800       2.964       0.000       2.964       9.605
     849.00       1.000       0.000       0.000       0.000       7.514       3.338       0.000       3.338       9.570
     849.20       7.280       0.000       0.000       0.000       7.400       3.478       0.000       3.478       9.556
     849.50      16.700       0.000       0.000       0.000       7.893       3.608       0.000       3.608       9.535
     850.00      46.700       0.000       0.000       0.000       8.714       3.797       0.000       3.797       9.500
     850.60      26.661       0.000       0.000       0.000       9.700       3.977       0.000       3.977       9.473
     851.00      13.300       0.000       0.000       0.000       9.333       3.870       0.000       3.870       9.454
     851.50       6.700       0.000       0.000       0.000       8.875       3.731       0.000       3.731       9.432
     851.80       4.480       0.000       0.000       0.000       8.600       3.645       0.000       3.645       9.418
     852.00       3.000       0.000       0.000       0.000       9.171       3.908       0.000       3.908       9.409
     852.19       2.240       0.000       0.000       0.000       9.714       4.161       0.000       4.161       9.400
     852.50       1.000       0.000       0.000       0.000      10.600       4.578       0.000       4.578       5.956
     853.00       3.000       0.000       0.000       0.000      12.029       5.265       0.000       5.265       0.400
     853.20      36.482       0.000       0.000       0.000      12.600       5.544       0.000       5.544       0.389
     853.50      86.700       0.000       0.000       0.000      11.683       5.102       0.000       5.102       0.371
     854.00      66.700       0.000       0.000       0.000      10.156       4.378       0.000       4.378       0.343
     854.50      46.700       0.000       0.000       0.000       8.628       3.672       0.000       3.672       0.314
     855.00      20.000       0.000       0.000       0.000       7.100       2.982       0.000       2.982       0.286
     855.50      13.300       0.000       0.000       0.000       7.730       3.264       0.000       3.264       0.257
     856.00       3.000       0.000       0.000       0.000       8.361       3.548       0.000       3.548       0.229
     856.20     173.300       0.000       0.000       0.000       8.613       3.662       0.000       3.662       0.217
     856.50      20.000       0.000       0.000       0.000       8.991       3.835       0.000       3.835       0.200
     857.00       8.700       0.000       0.000       0.000       9.622       4.125       0.000       4.125       0.171
     857.30      12.128       0.000       0.000       0.000      10.000       4.300       0.000       4.300       0.154
     857.70      16.700       0.000       0.000       0.000       9.305       3.942       0.000       3.942       0.131
     858.00      13.300       0.000       0.000       0.000       8.784       3.680       0.000       3.680       0.114
     858.50       6.700       0.000       0.000       0.000       7.916       3.254       0.000       3.254       0.086
     859.00       3.000       0.000       0.000       0.000       7.047       2.841       0.000       2.841       0.057
     859.20       3.000       0.000       0.000       0.000       6.700       2.680       0.000       2.680       0.046
     860.00       3.000       0.000       0.000       0.000       7.011       3.552       0.000       3.552       0.000
     860.40       1.000       0.000       0.000       0.000       7.167       4.013       0.000       4.013       0.000
     860.50      26.700       0.000       0.000       0.000       7.206       4.131       0.000       4.131       0.000
     861.00       6.000       0.000       0.000       0.000       7.400       4.736       0.000       4.736       0.000
     861.50       1.000       0.000       0.000       0.000       7.664       4.884       0.000       4.884       0.000
     862.00       1.000       0.000       0.000       0.000       7.928       5.030       0.000       5.030       0.000
     863.00       1.000       0.000       0.000       0.000       8.456       5.318       0.000       5.318       0.000
     863.20      33.400       0.000       0.000       0.000       8.561       5.374       0.000       5.374       0.000
     864.00       6.000       0.000       0.000       0.000       8.983       5.600       0.000       5.600       0.000
     864.60       3.000       0.000       0.000       0.000       9.300       5.766       0.000       5.766       0.000
     865.00       1.000       0.000       0.000       0.000       8.807       5.425       0.000       5.425       0.000
     865.20      86.700       0.000       0.000       0.000       8.560       5.256       0.000       5.256       0.000
     865.40     106.700       0.000       0.000       0.000       8.313       5.088       0.000       5.088       0.000
     865.50      53.300       0.000       0.000       0.000       8.190       5.004       0.000       5.004       0.000
     866.00       3.000       0.000       0.000       0.000       7.573       4.589       0.000       4.589       0.000
     866.50       1.000       0.000       0.000       0.000       6.957       4.181       0.000       4.181       0.000
     867.00      65.000       0.000       0.000       0.000       6.340       3.779       0.000       3.779       0.000
     867.50      32.000       0.000       0.000       0.000       5.723       3.382       0.000       3.382       0.000
     867.60      28.401       0.000       0.000       0.000       5.600       3.304       0.000       3.304       0.000
     868.00      14.000       0.000       0.000       0.000       6.033       3.560       0.000       3.560       0.000
     868.50      11.000       0.000       0.000       0.000       6.575       3.879       0.000       3.879       0.000
     869.00      10.000       0.000       0.000       0.000       7.117       4.199       0.000       4.199       0.000
     869.50       6.000       0.000       0.000       0.000       7.658       4.518       0.000       4.518       0.000
     870.00       3.000       0.000       0.000       0.000       8.200       4.838       0.000       4.838       0.000
     870.80     120.000       0.000       0.000       0.000       9.229       5.445       0.000       5.445       0.000
     871.00      25.000       0.000       0.000       0.000       9.486       5.597       0.000       5.597       0.000
     871.40      26.000       0.000       0.000       0.000      10.000       5.900       0.000       5.900       0.000
     871.50     115.000       0.000       0.000       0.000       9.884       5.845       0.000       5.845       0.000
     872.00      80.000       0.000       0.000       0.000       9.305       5.564       0.000       5.564       0.000
     872.50      33.000       0.000       0.000       0.000       8.726       5.275       0.000       5.275       0.000
     873.00      12.000       0.000       0.000       0.000       8.147       4.978       0.000       4.978       0.000
     873.50      10.000       0.000       0.000       0.000       7.568       4.675       0.000       4.675       0.000
     874.00       6.000       0.000       0.000       0.000       6.989       4.363       0.000       4.363       0.000
     874.50       3.000       0.000       0.000       0.000       6.411       4.044       0.000       4.044       0.000
     875.00       3.000       0.000       0.000       0.000       5.832       3.717       0.000       3.717       0.000
     875.20       3.000       0.000       0.000       0.000       5.600       3.584       0.000       3.584       0.000
     875.50       3.000       0.000       0.000       0.000       6.407       4.134       0.000       4.134       0.000
     876.00     107.000       0.000       0.000       0.000       7.752       5.068       0.000       5.068       0.000
     876.20      60.000       0.000       0.000       0.000       8.290       5.448       0.000       5.448       0.000
     876.50      54.000       0.000       0.000       0.000       9.097       6.026       0.000       6.026       0.000
     877.00      30.000       0.000       0.000       0.000      10.441       7.007       0.000       7.007       0.000
     877.50      24.000       0.000       0.000       0.000      11.786       8.011       0.000       8.011       0.000
     877.60      23.600       0.000       0.000       0.000      12.055       8.214       0.000       8.214       0.000
     877.72      23.120       0.000       0.000       0.000      12.378       8.460       0.000       8.460       0.000
     877.80      22.804       0.000       0.000       0.000      12.590       8.622       0.000       8.622       0.000
     877.84      22.640       0.000       0.000       0.000      12.701       8.707       0.000       8.707       0.000
     877.88      22.496       0.000       0.000       0.000      12.798       8.781       0.000       8.781       0.000
     877.94      22.240       0.000       0.000       0.000      12.970       8.913       0.000       8.913       0.000
     878.00      22.000       0.000       0.000       0.000      13.131       9.038       0.000       9.038       0.000
     878.02      21.920       0.000       0.000       0.000      13.185       9.079       0.000       9.079       0.000
     878.07      21.720       0.000       0.000       0.000      13.319       9.183       0.000       9.183       0.000
     878.09      21.640       0.000       0.000       0.000      13.373       9.225       0.000       9.225       0.000
     878.10      21.600       0.000       0.000       0.000      13.400       9.246       0.000       9.246       0.000
     878.19      21.248       0.000       0.000       0.000      13.254       9.137       0.000       9.137       0.000
     878.50      20.000       0.000       0.000       0.000      12.738       8.750       0.000       8.750       0.000
     878.92      13.280       0.000       0.000       0.000      12.044       8.234       0.000       8.234       0.000
     878.96      12.640       0.000       0.000       0.000      11.978       8.185       0.000       8.185       0.000
     879.00      12.000       0.000       0.000       0.000      11.912       8.136       0.000       8.136       0.000
     879.20       9.600       0.000       0.000       0.000      11.581       7.893       0.000       7.893       0.000
     879.50       6.000       0.000       0.000       0.000      11.085       7.529       0.000       7.529       0.000
     879.54       5.760       0.000       0.000       0.000      11.018       7.481       0.000       7.481       0.000
     879.60       5.400       0.000       0.000       0.000      10.919       7.408       0.000       7.408       0.000
     879.63       5.220       0.000       0.000       0.000      10.870       7.372       0.000       7.372       0.000
     879.80       4.200       0.000       0.000       0.000      10.588       7.168       0.000       7.168       0.000
     880.00       3.000       0.000       0.000       0.000      10.258       6.928       0.000       6.928       0.000
     880.50       5.000       0.000       0.000       0.000       9.431       6.333       0.000       6.333       0.000
     881.00     110.000       0.000       0.000       0.000       8.604       5.745       0.000       5.745       0.000
     881.50      67.000       0.000       0.000       0.000       7.777       5.163       0.000       5.163       0.000
     882.00      51.000       0.000       0.000       0.000       6.950       4.587       0.000       4.587       0.000
     882.50       1.000       0.000       0.000       0.000       6.123       4.018       0.000       4.018       0.000
     882.70      54.000       0.000       0.000       0.000       5.792       3.792       0.000       3.792       0.000
     883.00      27.000       0.000       0.000       0.000       5.296       3.455       0.000       3.455       0.000
     883.30      16.800       0.000       0.000       0.000       4.800       3.120       0.000       3.120       0.000
     883.50      10.000       0.000       0.000       0.000       5.848       3.792       0.000       3.792       0.000
     884.00       1.000       0.000       0.000       0.000       8.468       5.457       0.000       5.457       0.000
     884.50       3.000       0.000       0.000       0.000      11.088       7.101       0.000       7.101       0.000
     885.00       1.000       0.000       0.000       0.000      13.708       8.724       0.000       8.724       0.000
     885.50       3.000       0.000       0.000       0.000      16.328      10.326       0.000      10.326       0.000
     885.80       6.600       0.000       0.000       0.000      17.900      11.277       0.000      11.277       0.000
     886.00       9.000       0.000       0.000       0.000      17.106      10.953       0.000      10.953       0.000
     886.50      15.000       0.000       0.000       0.000      15.121      10.072       0.000      10.072       0.000
     886.90      80.000       0.000       0.000       0.000      13.533       9.293       0.000       9.293       0.000
     887.00      70.000       0.000       0.000       0.000      13.136       9.088       0.000       9.088       0.000
     887.50      18.000       0.000       0.000       0.000      11.151       8.002       0.000       8.002       0.000
     888.00      30.000       0.000       0.000       0.000       9.167       6.814       0.000       6.814       0.000
     888.50      12.000       0.000       0.000       0.000       7.182       5.523       0.000       5.523       0.000
     889.00      20.000       0.000       0.000       0.000       5.197       4.131       0.000       4.131       0.000
     889.10      18.800       0.000       0.000       0.000       4.800       3.840       0.000       3.840       0.000
     889.50      14.000       0.000       0.000       0.000       6.000       4.800       0.000       4.800       0.000
     890.00      12.000       0.000       0.000       0.000       7.500       6.000       0.000       6.000       0.000
     890.50       3.000       0.000       0.000       0.000       9.000       7.200       0.000       7.200       0.000
     891.00      67.000       0.000       0.000       0.000      10.500       8.400       0.000       8.400       0.000
     891.10      40.000       0.000       0.000       0.000      10.800       8.640       0.000       8.640       0.000
     891.50      25.000       0.000       0.000       0.000       9.760       7.808       0.000       7.808       0.000
     892.00      15.000       0.000       0.000       0.000       8.460       6.768       0.000       6.768       0.000
     892.50      15.000       0.000       0.000       0.000       7.160       5.728       0.000       5.728       0.000
     893.00       1.000       0.000       0.000       0.000       5.860       4.688       0.000       4.688       0.000
     893.10       3.599       0.000       0.000       0.000       5.600       4.480       0.000       4.480       0.000
     893.50      14.000       0.000       0.000       0.000       8.089       6.112       0.000       6.112       0.000
     894.00      10.000       0.000       0.000       0.000      11.200       7.840       0.000       7.840       0.000
     894.50       3.000       0.000       0.000       0.000       9.644       7.853       0.000       7.853       0.000
     894.70       3.000       0.000       0.000       0.000       9.022       7.759       0.000       7.759       0.000
     895.00       3.000       0.000       0.000       0.000       8.089       6.339       0.000       6.339       0.000
     895.50       3.000       0.000       0.000       0.000       6.533       4.288       0.000       4.288       0.000
     895.80       3.000       0.000       0.000       0.000       5.600       3.248       0.000       3.248       0.000
     896.00       3.000       0.000       0.000       0.000       5.840       3.411       0.000       3.411       0.000
     896.50      25.000       0.000       0.000       0.000       6.440       3.825       0.000       3.825       0.000
     897.00      11.000       0.000       0.000       0.000       7.040       4.252       0.000       4.252       0.000
     897.20     104.000       0.000       0.000       0.000       7.280       4.426       0.000       4.426       0.000
     897.30      90.669       0.000       0.000       0.000       7.400       4.514       0.000       4.514       0.000
     897.50      64.000       0.000       0.000       0.000       7.029       4.292       0.000       4.292       0.000
     898.00       1.000       0.000       0.000       0.000       6.100       3.736       0.000       3.736       0.000
     898.50       3.000       0.000       0.000       0.000       5.171       3.176       0.000       3.176       0.000
     898.70       4.200       0.000       0.000       0.000       4.800       2.951       0.000       2.951       0.000
     899.00       6.000       0.000       0.000       0.000       5.620       3.461       0.000       3.461       0.000
     899.50      10.000       0.000       0.000       0.000       6.987       4.315       0.000       4.315       0.000
     900.00      12.000       0.000       0.000       0.000       8.353       5.173       0.000       5.173       0.000
     900.20      11.200       0.000       0.000       0.000       8.900       5.518       0.000       5.518       0.000
     900.50      10.000       0.000       0.000       0.000      10.400       6.396       0.000       6.396       0.000
     901.00       3.000       0.000       0.000       0.000      12.900       7.826       0.000       7.826       0.000
     901.10      12.331       0.000       0.000       0.000      13.400       8.107       0.000       8.107       0.000
     901.30      31.000       0.000       0.000       0.000      12.578       7.568       0.000       7.568       0.000
     901.50      27.000       0.000       0.000       0.000      11.755       7.034       0.000       7.034       0.000
     902.00       6.000       0.000       0.000       0.000       9.700       5.723       0.000       5.723       0.000
     903.00      10.000       0.000       0.000       0.000      10.311       7.287       0.000       7.287       0.000
     903.50       1.000       0.000       0.000       0.000      10.617       8.122       0.000       8.122       0.000
     903.80       5.200       0.000       0.000       0.000      10.800       8.640       0.000       8.640       0.000
     904.00       8.000       0.000       0.000       0.000      10.285       8.101       0.000       8.101       0.000
     904.10       9.200       0.000       0.000       0.000      10.027       7.836       0.000       7.836       0.000
     904.50      14.000       0.000       0.000       0.000       8.996       6.809       0.000       6.809       0.000
     905.00      12.000       0.000       0.000       0.000       7.708       5.597       0.000       5.597       0.000
     905.50      10.000       0.000       0.000       0.000       6.419       4.464       0.000       4.464       0.000
     906.00       3.000       0.000       0.000       0.000       5.131       3.410       0.000       3.410       0.000
     906.40       1.400       0.000       0.000       0.000       4.100       2.624       0.000       2.624       0.000
     906.50       1.000       0.000       0.000       0.000       4.506       2.890       0.000       2.890       0.000
     907.00       1.000       0.000       0.000       0.000       6.537       4.238       0.000       4.238       0.000
     907.40       1.000       0.000       0.000       0.000       8.163       5.337       0.000       5.337       0.000
     907.50      40.000       0.000       0.000       0.000       8.569       5.615       0.000       5.615       0.000
     908.00      15.000       0.000       0.000       0.000      10.600       7.020       0.000       7.020       0.000
     908.50      15.000       0.000       0.000       0.000      12.631       8.452       0.000       8.452       0.000
     909.00       9.000       0.000       0.000       0.000      14.663       9.914       0.000       9.914       0.000
     909.50       6.000       0.000       0.000       0.000      16.694      11.403       0.000      11.403       0.000
     909.60       5.400       0.000       0.000       0.000      17.100      11.704       0.000      11.704       0.000
     909.80       4.200       0.000       0.000       0.000      16.150      11.099       0.000      11.099       0.000
     910.00       3.000       0.000       0.000       0.000      15.200      10.488       0.000      10.488       0.000
     910.40       1.000       0.000       0.000       0.000      17.040      10.803       0.000      10.803       0.000
     910.44      15.795       0.000       0.000       0.000      17.224      10.824       0.000      10.824       0.000
     910.50      38.000       0.000       0.000       0.000      17.500      10.850       0.000      10.850       0.000
     910.60      25.000       0.000       0.000       0.000      17.047      10.599       0.000      10.599       0.000
     911.00      14.000       0.000       0.000       0.000      15.232       9.580       0.000       9.580       0.000
     911.50       6.000       0.000       0.000       0.000      12.964       8.269       0.000       8.269       0.000
     911.76       3.400       0.000       0.000       0.000      11.785       7.572       0.000       7.572       0.000
     912.00       1.000       0.000       0.000       0.000      10.696       6.918       0.000       6.918       0.000
     912.32       1.000       0.000       0.000       0.000       9.245       6.032       0.000       6.032       0.000
     912.50       1.000       0.000       0.000       0.000       8.429       5.527       0.000       5.527       0.000
     912.60     154.000       0.000       0.000       0.000       7.975       5.244       0.000       5.244       0.000
     913.00      82.000       0.000       0.000       0.000       6.161       4.095       0.000       4.095       0.000
     913.30      53.801       0.000       0.000       0.000       4.800       3.216       0.000       3.216       0.000
     913.50      35.000       0.000       0.000       0.000       5.171       3.561       0.000       3.561       0.000
     914.00      15.000       0.000       0.000       0.000       6.100       4.484       0.000       4.484       0.000
     914.50       3.000       0.000       0.000       0.000       7.029       5.492       0.000       5.492       0.000
     914.70       3.000       0.000       0.000       0.000       7.400       5.920       0.000       5.920       0.000
     915.00       3.000       0.000       0.000       0.000       6.300       4.662       0.000       4.662       0.000
     915.50       1.000       0.000       0.000       0.000       4.467       2.859       0.000       2.859       0.000
     915.60       1.000       0.000       0.000       0.000       4.100       2.542       0.000       2.542       0.000
     916.00       1.000       0.000       0.000       0.000       8.925       5.712       0.000       5.712       0.000
     916.50      42.000       0.000       0.000       0.000      14.956       9.946       0.000       9.946       0.000
     917.00       1.000       0.000       0.000       0.000      20.987      14.481       0.000      14.481       0.000
     917.20       1.800       0.000       0.000       0.000      23.400      16.380       0.000      16.380       0.000
     917.50       3.000       0.000       0.000       0.000      21.488      15.875       0.000      15.875       0.000
     918.00       6.000       0.000       0.000       0.000      18.300      14.705       0.000      14.705       0.000
     918.50       3.000       0.000       0.000       0.000      15.113      13.121       0.000      13.121       0.000
     918.90       3.000       0.000       0.000       0.000      12.562      11.557       0.000      11.557       0.000
     919.00       3.000       0.000       0.000       0.000      11.925      10.852       0.000      10.852       0.000
     919.50       1.000       0.000       0.000       0.000       8.738       7.514       0.000       7.514       0.000
     919.90      97.000       0.000       0.000       0.000       6.187       5.074       0.000       5.074       0.000
     920.00      97.500       0.000       0.000       0.000       5.550       4.496       0.000       4.496       0.000
     920.10      98.000       0.000       0.000       0.000       4.913       3.930       0.000       3.930       0.000
     920.40      50.745       0.000       0.000       0.000       3.000       2.310       0.000       2.310       0.000
     920.50      35.000       0.000       0.000       0.000       3.248       2.505       0.000       2.505       0.000
     920.96      27.640       0.000       0.000       0.000       4.390       3.411       0.000       3.411       0.000
     921.00      27.000       0.000       0.000       0.000       4.489       3.490       0.000       3.490       0.000
     921.50      17.000       0.000       0.000       0.000       5.730       4.491       0.000       4.491       0.000
     922.00      11.000       0.000       0.000       0.000       6.970       5.507       0.000       5.507       0.000
     922.50       3.000       0.000       0.000       0.000       8.211       6.897       0.000       6.897       0.000
     922.80      58.000       0.000       0.000       0.000       8.956       7.738       0.000       7.738       0.000
     923.00      17.000       0.000       0.000       0.000       9.452       8.318       0.000       8.318       0.000
     923.10      17.300       0.000       0.000       0.000       9.700       8.148       0.000       8.148       0.000
     923.15      17.450       0.000       0.000       0.000       9.600       8.256       0.000       8.256       0.000
     923.20      17.600       0.000       0.000       0.000       9.500       8.360       0.000       8.360       0.000
     923.50      18.500       0.000       0.000       0.000       8.900       5.696       0.000       5.696       0.000
     923.70      19.100       0.000       0.000       0.000      11.800      10.620       0.000      10.620       0.000
     924.00      20.000       0.000       0.000       0.000      16.150      13.970       0.000      13.970       0.000
     924.30      15.200       0.000       0.000       0.000      20.500      17.015       0.000      17.015       0.000
     924.50      12.000       0.000       0.000       0.000      23.400      20.592       0.000      20.592       0.000
     925.00      22.000       0.000       0.000       0.000      18.216      15.023       0.000      15.023       0.000
     925.50       3.000       0.000       0.000       0.000      13.032      10.028       0.000      10.028       0.000
     926.00      14.000       0.000       0.000       0.000       7.848       5.605       0.000       5.605       0.000
     926.20       9.600       0.000       0.000       0.000       5.774       3.996       0.000       3.996       0.000
     926.40       5.199       0.000       0.000       0.000       3.700       2.479       0.000       2.479       0.000
     926.50       3.000       0.000       0.000       0.000       3.733       2.510       0.000       2.510       0.000
     927.00      18.000       0.000       0.000       0.000       3.900       2.668       0.000       2.668       0.000
     927.60      13.200       0.000       0.000       0.000       4.100       2.863       0.000       2.863       0.000
     928.00      10.000       0.000       0.000       0.000       3.460       2.448       0.000       2.448       0.000
     928.10       8.400       0.000       0.000       0.000       3.300       2.343       0.000       2.343       0.000
     928.50       2.000       0.000       0.000       0.000       3.620       2.594       0.000       2.594       0.000
     929.00       2.000       0.000       0.000       0.000       4.020       2.913       0.000       2.913       0.000
     929.10       4.699       0.000       0.000       0.000       4.100       2.978       0.000       2.978       0.000
     930.00      29.000       0.000       0.000       0.000       3.700       2.741       0.000       2.741       0.000
     930.50       3.000       0.000       0.000       0.000      22.284      16.692       0.000      16.692       0.000
     930.60       3.600       0.000       0.000       0.000      26.000      19.518       0.000      19.518       0.000
     930.75       4.500       0.000       0.000       0.000      23.716      17.862       0.000      17.862       0.000
     931.00       6.000       0.000       0.000       0.000      19.911      15.077       0.000      15.077       0.000
     931.50       6.000       0.000       0.000       0.000      12.300       9.414       0.000       9.414       0.000
     931.90      15.000       0.000       0.000       0.000      19.545      15.086       0.000      15.086       0.000
     932.00      21.000       0.000       0.000       0.000      21.355      16.518       0.000      16.518       0.000
     932.40       8.199       0.000       0.000       0.000      28.600      22.308       0.000      22.308       0.000
     932.50       5.000       0.000       0.000       0.000      27.794      21.711       0.000      21.711       0.000
     933.00       7.000       0.000       0.000       0.000      23.763      18.700       0.000      18.700       0.000
     933.38       4.720       0.000       0.000       0.000      20.699      16.380       0.000      16.380       0.000
     933.50       4.000       0.000       0.000       0.000      19.731      15.642       0.000      15.642       0.000
     934.00      10.000       0.000       0.000       0.000      15.700      12.537       0.000      12.537       0.000
     934.50      11.300       0.000       0.000       0.000      11.669       9.386       0.000       9.386       0.000
     935.00       5.000       0.000       0.000       0.000       7.637       6.187       0.000       6.187       0.000
     935.30      12.000       0.000       0.000       0.000       5.219       4.246       0.000       4.246       0.000
     935.50       7.000       0.000       0.000       0.000       3.606       2.942       0.000       2.942       0.000
     935.60       6.800       0.000       0.000       0.000       2.800       2.288       0.000       2.288       0.000
     936.00       6.000       0.000       0.000       0.000       7.362       6.050       0.000       6.050       0.000
     936.50       6.000       0.000       0.000       0.000      13.065      10.812       0.000      10.812       0.000
     937.00       1.000       0.000       0.000       0.000      18.768      15.640       0.000      15.640       0.000
     937.50       7.000       0.000       0.000       0.000      24.470      20.534       0.000      20.534       0.000
     937.80      20.499       0.000       0.000       0.000      27.892      23.502       0.000      23.502       0.000
     937.90      25.000       0.000       0.000       0.000      29.033      24.497       0.000      24.497       0.000
     938.00       1.000       0.000       0.000       0.000      30.173      25.494       0.000      25.494       0.000
     938.50       1.000       0.000       0.000       0.000      35.876      30.520       0.000      30.520       0.000
     938.60     200.000       0.000       0.000       0.000      37.016      31.533       0.000      31.533       0.000
     939.00     148.000       0.000       0.000       0.000      41.579      35.613       0.000      35.613       0.000
     939.30     106.002       0.000       0.000       0.000      45.000      38.700       0.000      38.700       0.000
     939.50      78.000       0.000       0.000       0.000      43.400      36.586       0.000      36.586       0.000
     940.00      27.000       0.000       0.000       0.000      39.400      31.540       0.000      31.540       0.000
     940.10      94.000       0.000       0.000       0.000      38.600      30.571       0.000      30.571       0.000
     940.50      29.000       0.000       0.000       0.000      35.400      26.833       0.000      26.833       0.000
     941.00      18.000       0.000       0.000       0.000      31.400      22.467       0.000      22.467       0.000
     941.50      15.000       0.000       0.000       0.000      27.400      18.440       0.000      18.440       0.000
     942.00      22.000       0.000       0.000       0.000      23.400      14.754       0.000      14.754       0.000
     942.40       1.000       0.000       0.000       0.000      20.200      12.049       0.000      12.049       0.000
     942.50      65.000       0.000       0.000       0.000      19.400      11.407       0.000      11.407       0.000
     943.00      27.000       0.000       0.000       0.000      15.400       8.401       0.000       8.401       0.000
     943.30      22.800       0.000       0.000       0.000      13.000       6.760       0.000       6.760       0.000
     943.50      20.000       0.000       0.000       0.000      11.400       6.559       0.000       6.559       0.000
     944.00      11.000       0.000       0.000       0.000       7.400       5.282       0.000       5.282       0.000
     944.50      11.000       0.000       0.000       0.000       3.400       2.898       0.000       2.898       0.000
     944.52      10.600       0.000       0.000       0.000       3.240       2.779       0.000       2.779       0.000
     944.60       9.000       0.000       0.000       0.000       2.600       2.288       0.000       2.288       0.000
     945.00       1.000       0.000       0.000       0.000       9.516       8.252       0.000       8.252       0.000
     946.00       1.000       0.000       0.000       0.000      26.807      22.379       0.000      22.379       0.000
     947.00       3.000       0.000       0.000       0.000      44.097      35.391       0.000      35.391       0.000
     947.70       3.000       0.000       0.000       0.000      56.200      43.836       0.000      43.836       0.000
     948.00       3.000       0.000       0.000       0.000      49.969      38.918       0.000      38.918       0.000
     948.50       1.000       0.000       0.000       0.000      39.585      30.754       0.000      30.754       0.000
     949.00       1.000       0.000       0.000       0.000      29.200      22.630       0.000      22.630       0.000
     949.10      44.000       0.000       0.000       0.000      27.124      21.010       0.000      21.010       0.000
     949.50      25.000       0.000       0.000       0.000      18.815      14.546       0.000      14.546       0.000
     949.74      13.480       0.000       0.000       0.000      13.831      10.680       0.000      10.680       0.000
     950.00       1.000       0.000       0.000       0.000       8.431       6.501       0.000       6.501       0.000
     950.30      17.199       0.000       0.000       0.000       2.200       1.694       0.000       1.694       0.000
     950.50      28.000       0.000       0.000       0.000       4.075       3.138       0.000       3.138       0.000
     951.00       2.000       0.000       0.000       0.000       8.763       6.747       0.000       6.747       0.000
     952.00       2.000       0.000       0.000       0.000      18.138      13.966       0.000      13.966       0.000
     953.00      12.000       0.000       0.000       0.000      27.512      21.185       0.000      21.185       0.000
     954.00       3.000       0.000       0.000       0.000      36.887      28.403       0.000      28.403       0.000
     955.00       6.000       0.000       0.000       0.000      46.262      35.622       0.000      35.622       0.000
     955.90      18.600       0.000       0.000       0.000      54.700      42.119       0.000      42.119       0.000
     956.00      20.000       0.000       0.000       0.000      51.488      39.646       0.000      39.646       0.000
     956.50      12.000       0.000       0.000       0.000      35.425      27.278       0.000      27.278       0.000
     956.70       8.400       0.000       0.000       0.000      29.000      22.330       0.000      22.330       0.000
     957.00       3.000       0.000       0.000       0.000      35.300      29.652       0.000      29.652       0.000
     957.50       6.000       0.000       0.000       0.000      29.833      24.314       0.000      24.314       0.000
     958.00      18.000       0.000       0.000       0.000      24.367      19.250       0.000      19.250       0.000
     958.20     134.000       0.000       0.000       0.000      22.180      17.300       0.000      17.300       0.000
